CustomerID,Recency,Frequency,Monetary,AvgBasket,TotalItems,LogMonetary,LogAvgBasket,LogTotalItems,Churned
12346,326,1,77183.6,77183.6,74215,11.253955234248428,11.253955234248428,11.214735039333107,1
12347,2,7,4310.0,23.681318681318682,2458,8.368925174747135,3.2060466287815386,7.807510042216193,0
12348,75,4,1797.24,57.97548387096774,2341,7.494563687769957,4.0771218299394825,7.758760544157663,0
12349,19,1,1757.55,24.076027397260273,631,7.472244884833674,3.2219123059801262,6.448889394146858,0
12350,310,1,334.4,19.670588235294115,197,5.815323849389109,3.0287118316967807,5.288267030694535,1
12352,36,8,2506.04,29.482823529411764,536,7.826858053356098,3.417163362007433,6.285998094508865,0
12353,204,1,89.0,22.25,20,4.499809670330265,3.1463051320333655,3.044522437723423,1
12354,232,1,1079.4,18.610344827586207,530,6.985086621918461,2.97605722432628,6.274762021241939,1
12355,214,1,459.4,35.33846153846154,240,6.132095676847728,3.5928767268616704,5.484796933490655,1
12356,23,3,2811.43,47.65135593220339,1591,7.941804157314053,3.8846796794091576,7.3727463664043285,0
12357,33,1,6207.67,47.38679389312977,2708,8.733701981297274,3.8792269230435794,7.904334842085095,0
12358,2,2,1168.06,61.47684210526315,248,7.063955286074528,4.13479596176473,5.517452896464707,0
12359,58,4,6310.03,25.755224489795918,1609,8.750054175177759,3.2867297623016394,7.383989457978509,0
12360,52,3,2662.06,20.63612403100775,1165,7.887231116540211,3.074364326614664,7.061334366910438,0
12361,287,1,189.9,18.990000000000002,91,5.251749730731702,2.995232148512309,4.5217885770490405,1
12362,3,10,5226.23,19.647481203007516,2229,8.56163678004062,3.0275933363261256,7.709756864454165,0
12363,110,2,552.0,24.0,408,6.315358001522335,3.2188758248682006,6.013715156042802,1
12364,8,4,1313.1,15.448235294117646,1506,7.180907299649593,2.8002181945034623,7.317876198626496,0
12365,291,2,641.38,29.153636363636362,174,6.465180028897591,3.4063055249763377,5.1647859739235145,1
12367,4,1,168.9,15.354545454545455,173,5.135210028677887,2.794505868158117,5.159055299214529,0
12370,51,4,3541.94,21.33698795180723,2352,8.172712169921061,3.1062439569685116,7.763446388727362,0
12371,45,2,1887.96,29.96761904761905,591,7.543781692052325,3.432942111714894,6.3835066348840055,0
12372,72,3,1298.04,24.962307692307693,794,7.169380809114136,3.2566457820417285,6.678342114654332,0
12373,311,1,364.6,26.042857142857144,197,5.901539839579995,3.297422909159964,5.288267030694535,1
12374,25,1,742.9300000000001,22.513030303030305,342,6.6119469443852195,3.1575547484623487,5.8377304471659395,0
12375,11,2,457.5,26.91176470588235,178,6.127960291696519,3.3290482739937666,5.187385805840755,0
12377,315,2,1628.12,21.144415584415583,944,7.395795270713971,3.097585346618962,6.851184927493743,1
12378,130,1,4008.62,18.30420091324201,2529,8.29645175271804,2.96032273612404,7.835974581721566,1
12379,82,2,852.24,21.306,407,6.749040867823617,3.104855700572345,6.0112671744041615,0
12380,22,4,2724.81,26.200096153846154,1127,7.910520910634419,3.3032205083635766,7.028201432058005,0
12381,5,5,1845.31,21.21045977011494,808,7.520944331624911,3.100563338732817,6.695798917058491,0
12383,185,5,1850.56,18.69252525252525,1532,7.523783805985769,2.980239134936795,7.334981878871814,1
12384,29,2,585.27,21.676666666666666,126,6.373780434317173,3.1213364956888596,4.844187086458591,0
12386,338,2,401.9,40.19,354,5.998688392197302,3.718195508447989,5.872117789475416,1
12388,16,6,2780.66,27.8066,1462,7.930803150780256,3.3606045275538974,7.288244401020124,0
12390,80,1,549.84,17.1825,353,6.311444385858925,2.9004595930465586,5.869296913133774,0
12391,22,1,439.66,4.72752688172043,293,6.0882736030360425,1.7452838287819774,5.683579767338681,0
12393,72,4,1582.6000000000001,24.728125000000002,816,7.3674560152319755,3.247584751504654,6.705639094860003,0
12394,64,2,1272.48,47.12888888888889,819,7.149508589545504,3.8738825974239592,6.709304340258298,0
12395,19,12,3018.63,19.350192307692307,2118,8.012889586306857,3.013090361853403,7.6586995582682995,0
12397,36,2,2409.9,19.126190476190477,1263,7.7877554007552545,3.002021975651514,7.142036574706803,0
12398,46,1,1635.6599999999999,19.24305882352941,1394,7.4004128587924045,3.0078119606453666,7.240649694255466,0
12399,119,4,1108.65,18.790677966101697,1178,7.011799929268738,2.9852110170419164,7.072421900537371,1
12401,303,1,84.3,16.86,11,4.446174454497633,2.882563575448353,2.4849066497880004,1
12402,323,1,225.6,20.509090909090908,94,5.423186348593906,3.0684756787459158,4.553876891600541,1
12403,50,1,427.7,85.53999999999999,96,6.0607573736039315,4.460606734796738,4.574710978503383,0
12405,149,1,1710.39,31.67388888888889,857,7.445061184797548,3.48657625400139,6.754604099487962,1
12406,22,2,3415.3,32.52666666666667,1818,8.136313373066384,3.512341142075709,7.506042178518122,0
